codigo_localidad,nombre_localidad,codigo_divipola,area_km2,poblacion,total_estaciones_troncales,total_paraderos_sitp,paraderos_por_10k_hab,estaciones_por_km2,paraderos_por_km2,tiempo_promedio_desplazamiento_laboral_min,modo_transporte_principal_trabajo
1,USAQUEN,1100101,65.31,602412,10,698,11.586754579922047,0.1533709075074869,10.70528934402259,42.0,A pie / Auto / SITP
2,CHAPINERO,1100102,38.0,184757,9,333,18.023674339808505,0.2367865539277013,8.761102495324948,32.0,A pie / Auto / SITP
3,SANTA FE,1100103,37.92,107851,14,194,17.987779436444725,0.3099357941681901,4.294824576330635,34.0,A pie / Auto / SITP
4,SAN CRISTOBAL,1100104,49.09,411570,3,408,9.913258983890955,0.0611016025929633,8.309817952643012,68.0,SITP / TransMilenio
5,USME,1100105,69.13,422489,2,327,7.7398464812101615,0.0092994411696438,1.520458631236774,82.0,SITP / TransMilenio
6,TUNJUELITO,1100106,23.6,186127,4,192,10.31553724070124,0.4035944222743045,19.37253226916662,58.0,A pie / Auto / SITP
7,BOSA,1100107,23.93,737647,5,485,6.574960651910739,0.2089148470381812,20.26474016270357,76.0,SITP / TransMilenio
8,KENNEDY,1100108,38.59,1041286,10,926,8.89284980303202,0.2591362782876713,23.99601936943836,64.0,SITP / TransMilenio
9,FONTIBON,1100109,35.88,411638,2,388,9.425757583119148,0.0600943436241655,11.65830266308812,40.0,A pie / Auto / SITP
10,ENGATIVA,1100110,35.88,822369,12,784,9.533433288462964,0.3344391438483758,21.85002406476055,54.0,A pie / Auto / SITP
11,SUBA,1100111,100.56,1332958,13,844,6.331782396744684,0.1292754399741611,8.402903598320474,58.0,A pie / Auto / SITP
12,BARRIOS UNIDOS,1100112,11.9,159163,13,234,14.70190936335706,1.0921205163628156,19.65816929453068,36.0,A pie / Auto / SITP
13,TEUSAQUILLO,1100113,14.19,164384,13,271,16.485789371228343,0.915933629700047,19.09369335759329,30.0,A pie / Auto / SITP
14,LOS MARTIRES,1100114,6.51,82827,9,167,20.162507394931605,1.381629733689698,25.63690728068661,38.0,A pie / Auto / SITP
15,ANTONIO NARINO,1100115,6.59,86119,5,92,10.682892276965594,1.024686042121401,18.854223175033777,45.0,A pie / Auto / SITP
16,PUENTE ARANDA,1100116,17.31,259314,15,377,14.53835890079209,0.8664935636991111,21.77787156763766,38.0,A pie / Auto / SITP
17,LA CANDELARIA,1100117,2.06,18941,1,37,19.534343487672245,0.4853796559914853,17.95904727168496,32.0,A pie / Auto / SITP
18,RAFAEL URIBE URIBE,1100118,33.28,393869,7,302,7.667523973706994,0.505996608948275,21.83013941462558,65.0,SITP / TransMilenio
19,CIUDAD BOLIVAR,1100119,130.0,671670,2,593,8.828740304018343,0.0153843085170542,4.5614474753065934,85.0,SITP / TransMilenio
20,SUMAPAZ,1100120,780.96,4021,0,0,0.0,0.0,0.0,110.0,A pie / Auto / SITP
